"station_id","station_name","station_measuring_network","station_kanton","station_y","station_x","station_altitude","station_type_de","station_type_of_area_de"
"grCKS","Chur-Kantonsspital","GR","GR",760290.00,192370.00,655.00,"Hintergrund","Vorstädtisch"
"grCRB","Chur-RhB","GR","GR",759655.00,191095.00,595.00,"Hintergrund","Städtisch"
"grDAV","Davos-Seehornwald","NABEL","GR",784450.00,187735.00,1637.00,"Hintergrund","Ländlich"
"grDMA","Davos-Matta","GR","GR",782300.00,185360.00,1534.00,"Hintergrund","Vorstädtisch"
"grDOE","Domat-Ems-Hauptstrasse","GR","GR",752830.00,188660.00,590.00,"Verkehr","Vorstädtisch"
"grDPR","Davos-Promenade","GR","GR",781970.00,185540.00,1558.00,"Hintergrund","Vorstädtisch"
"grFLI","Flims","GR","GR",740940.00,188930.00,1075.00,"Verkehr","Vorstädtisch"
"grILA","Ilanz","GR","GR",734890.00,182070.00,700.00,"Verkehr","Vorstädtisch"
"grKLH","Klosters-Hauptstrasse","GR","GR",786350.00,193750.00,1195.00,"Verkehr","Vorstädtisch"
"grKUE","Küblis","GR","GR",778040.00,198620.00,815.00,"Verkehr","Vorstädtisch"
"grMES","Mesocco-A13","GR","GR",738060.00,139050.00,790.00,"Verkehr","Vorstädtisch"
"grPOS","Poschiavo","GR","GR",801750.00,133580.00,1010.00,"Verkehr","Vorstädtisch"
"grRMU","Roveredo-Municipio","GR","GR",730210.00,121880.00,320.00,"Hintergrund","Vorstädtisch"
"grROT","Rothenbrunnen-A13","GR","GR",751520.00,181100.00,623.00,"Verkehr","Ländlich"
"grRST","Roveredo-Stazione-A13","GR","GR",730410.00,122020.00,298.00,"Verkehr","Vorstädtisch"
"grSML","St-Moritz-Ludains","GR","GR",784040.00,151330.00,1774.00,"Verkehr","Vorstädtisch"
"grSOG","Soglio","GR","GR",761600.00,134410.00,1100.00,"Hintergrund","Ländlich"
"grSTM","St-Moritz-Schulhaus","GR","GR",784220.00,152530.00,1860.00,"Hintergrund","Vorstädtisch"
"grSVI","San-Vittore","GR","GR",728530.00,122160.00,280.00,"Verkehr","Ländlich"
"grTZG","Tinizong","GR","GR",767000.00,161340.00,1235.00,"Verkehr","Vorstädtisch"
"grZIZ","Zizers","GR","GR",761250.00,201200.00,527.00,"Hintergrund","Ländlich"
"juDEL","Delémont","JU","JU",593500.00,246050.00,410.00,"Verkehr","Vorstädtisch"
"juPOR","Porrentruy","JU","JU",572775.00,252050.00,420.00,"Verkehr","Vorstädtisch"
